Field_Set,Field,Type,Level
base,@timestamp,date,core
base,labels,object,core
base,message,match_only_text,core
base,tags,keyword,core
agent,agent.build.original,keyword,core
agent,agent.id,keyword,core
agent,agent.name,keyword,core
agent,agent.type,keyword,core
agent,agent.version,keyword,core
client,client.bytes,long,core
client,client.domain,keyword,core
client,client.geo.city_name,keyword,core
client,client.geo.continent_code,keyword,core
client,client.geo.continent_name,keyword,core
client,client.geo.country_iso_code,keyword,core
client,client.geo.country_name,keyword,core
client,client.geo.location,geo_point,core
client,client.geo.postal_code,keyword,core
client,client.geo.region_iso_code,keyword,core
client,client.geo.region_name,keyword,core
client,client.geo.timezone,keyword,core
client,client.ip,ip,core
client,client.mac,keyword,core
client,client.packets,long,core
client,client.port,long,core
client,client.user.id,keyword,core
client,client.user.name,keyword,core
client,client.user.name.text,match_only_text,core
container,container.id,keyword,core
destination,destination.bytes,long,core
destination,destination.domain,keyword,core
destination,destination.geo.city_name,keyword,core
destination,destination.geo.continent_code,keyword,core
destination,destination.geo.continent_name,keyword,core
destination,destination.geo.country_iso_code,keyword,core
destination,destination.geo.country_name,keyword,core
destination,destination.geo.location,geo_point,core
destination,destination.geo.postal_code,keyword,core
destination,destination.geo.region_iso_code,keyword,core
destination,destination.geo.region_name,keyword,core
destination,destination.geo.timezone,keyword,core
destination,destination.ip,ip,core
destination,destination.mac,keyword,core
destination,destination.packets,long,core
destination,destination.port,long,core
destination,destination.user.id,keyword,core
destination,destination.user.name,keyword,core
destination,destination.user.name.text,match_only_text,core
device,device.serial_number,keyword,core
dll,dll.code_signature.exists,boolean,core
dll,dll.code_signature.subject_name,keyword,core
dll,dll.name,keyword,core
ecs,ecs.version,keyword,core
error,error.code,keyword,core
error,error.id,keyword,core
error,error.message,match_only_text,core
event,event.action,keyword,core
event,event.category,keyword,core
event,event.created,date,core
event,event.dataset,keyword,core
event,event.duration,long,core
event,event.id,keyword,core
event,event.ingested,date,core
event,event.kind,keyword,core
event,event.module,keyword,core
event,event.original,keyword,core
event,event.outcome,keyword,core
event,event.risk_score,float,core
event,event.severity,long,core
event,event.type,keyword,core
file,file.code_signature.exists,boolean,core
file,file.code_signature.subject_name,keyword,core
host,host.architecture,keyword,core
host,host.geo.city_name,keyword,core
host,host.geo.continent_code,keyword,core
host,host.geo.continent_name,keyword,core
host,host.geo.country_iso_code,keyword,core
host,host.geo.country_name,keyword,core
host,host.geo.location,geo_point,core
host,host.geo.postal_code,keyword,core
host,host.geo.region_iso_code,keyword,core
host,host.geo.region_name,keyword,core
host,host.geo.timezone,keyword,core
host,host.hostname,keyword,core
host,host.id,keyword,core
host,host.ip,ip,core
host,host.mac,keyword,core
host,host.name,keyword,core
host,host.type,keyword,core
log,log.level,keyword,core
log,log.logger,keyword,core
network,network.bytes,long,core
network,network.direction,keyword,core
network,network.forwarded_ip,ip,core
network,network.packets,long,core
network,network.protocol,keyword,core
network,network.transport,keyword,core
network,network.type,keyword,core
observer,observer.geo.city_name,keyword,core
observer,observer.geo.continent_code,keyword,core
observer,observer.geo.continent_name,keyword,core
observer,observer.geo.country_iso_code,keyword,core
observer,observer.geo.country_name,keyword,core
observer,observer.geo.location,geo_point,core
observer,observer.geo.postal_code,keyword,core
